identifier,filename,title,format,description,contributor,coverage,creator,date,latitude,longitude,year,publisher,rights,subject
postcards_99,https://archive.org/details/postcards_99,"St John's Cathedral, Winnipeg",image/jpeg,Outdoor scene of St. John's Cathedral. There are trees in the forfront and in the background.,University of Alberta Libraries,Canada; Manitoba; Winnipeg,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Churches; Trees
PC002324,https://archive.org/details/PC002324,"Arriving at Winnipeg Beach, Man.",image/jpeg,View of people arriving at and departing from Winnipeg Beach.,,Canada; Manitoba; Winnipeg Beach,"Valentine & Sons Publishing Co., Ltd.: Publisher",1911,,,1911,"Valentine & Son's Publishing Co., Ltd., Montreal and Toronto",Public Domain,Railroad stations
PC002322,https://archive.org/details/PC002322,"Winnipe Beach, Man.",image/jpeg,"View of a picnic area at Winnipeg Beach, with the focus on visitors walking across the park in formal attire.",,Canada; Manitoba; Winnipeg Beach,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Parks; Picnics
PC025135,https://archive.org/details/PC025135,Winnipeg Beach,image/jpeg,,,Canada; Manitoba; Winnipeg Beach,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC002413,https://archive.org/details/PC002413,Alsask stampede,image/jpeg,Cowboy falling to the ground from a bucking steer with spectators in the background.,,Canada; Saskatchewan; Alsask,Barrs: Photographer,1910,,,1910,Barrs,For more information visit the University of Alberta Library digital collections rights page,Rodeos; Bull riding; Cowboys; Spectators
PC012608,https://archive.org/details/PC012608,"[Estevan, Sask.]",image/jpeg,"Photo depicts a group of men and a boy all wearing hats, posed around a horse drawn cart.",,Canada; Saskatchewan; Estevan,,1914,,,1914,,Public Domain,Agricultural laborers; Boys; Agricultural machinery & implements
PC012618,https://archive.org/details/PC012618,"Fort Qu'Appelle, Sask.",image/jpeg,"Distant view of the town of Fort Qu'Appelle, Sask.",,Canada; Saskatchewan; Fort Qu'Appelle,,1910-06-20,,,1910,,Public Domain,Cityscapes
PC002445,https://archive.org/details/PC002445,Greetings from Indian Head,image/jpeg,"A greeting card with the following text on it: 'Greetings from Indian Head, Sask.' with portraits of men and women.",,Canada; Saskatchewan; Indian Head,Warwick Bro's & Rutter: Publisher,1907,,,1907,"Warwick Bro's & Rutter, Limited, Publishers, Toronto",Public Domain,Greeting cards; Portrait photographs
PC025247,https://archive.org/details/PC025247,Seymour Hotel,image/jpeg,,,Canada; Saskatchewan; Kindersley,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC012637,https://archive.org/details/PC012637,"The Kindopp Brothers Ranch, Kuest, Sask.",image/jpeg,Image shows a small herd of horse in front of a wood-plank barn.,,Canada; Saskatchewan; Kuest,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Barns; Horses; Livestock; Farms
PC012650,https://archive.org/details/PC012650,"The Mission, Lebert, near Indian Head, Sask.",image/jpeg,An image of the school buildings taken from a hill with the river in the background.,,Canada; Saskatchewan; Lebret,Warwick Bro's & Rutter: Publisher,1910-06-20,,,1910,"Warwick Bro's & Rutter Limited, Printers, Toronto",Public Domain,Schools; Rivers
PC012710,https://archive.org/details/PC012710,Bird's eye view of Moose Jaw.,image/jpeg,Bird's eye view of Moose Jaw River.,,Canada; Saskatchewan; Moose Jaw,,1904,,,1904,,Public Domain,Rivers
PC011226,https://archive.org/details/PC011226,"Scott Building, Moose Jaw, Sask.",image/jpeg,"Walter Scott building, Moose Jaw, Saskatchewan. There are several cars parked along the street in front.",,Canada; Saskatchewan; Moose Jaw,Bloom Bros.: Publisher,1913,,,1913,"Bloom Bros., Publisher, Winnipeg, Canada.",Public Domain,Office buildings; Automobiles
PC002552,https://archive.org/details/PC002552,City Hall Moose Jaw,image/jpeg,North and east faces of the Moose Jaw City Hall. The three storey Tyndall stone and brick-clad building was constructed between 1911 and 1914.,,Canada; Saskatchewan; Moose Jaw,,1914,,,1914,,For more information visit the University of Alberta Library digital collections rights page,City & town halls; Buildings
PC012735,https://archive.org/details/PC012735,"Main Street, Moose Jaw, Sask.",image/jpeg,"Real photo view of a downtown street showing storefronts, parked cars, a clock tower and lampposts.",,Canada; Saskatchewan; Moose Jaw,,1946,,,1946,,Public Domain,Commercial streets
PC023331,https://archive.org/details/PC023331,"Bathing beach, Moose Jaw, Sask.",image/jpeg,,,Canada; Saskatchewan; Moose Jaw,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC011303,https://archive.org/details/PC011303,"C.P.R. Bridge, Nipawin, Sask.",image/jpeg,"C.P.R. winding bridge over the North Saskatchewan River, at Nipawin, Sask.",,Canada; Saskatchewan; Nipawin,Regina Photo Supply Ltd.: Publisher,1928,,,1928,Regina Photo Supply Ltd.,For more information visit the University of Alberta Library digital collections rights page,Railroad bridges; Snow; Winter
PC013097,https://archive.org/details/PC013097,"Alexandra School, Regina, Sask.",image/jpeg,Postcard depicting the Alexandra School in Regina with children playing outside.,,Canada; Saskatchewan; Regina,"Rice, Lewis: Publisher",1911,,,1911,"Published by Lewis Rice, Moose Jaw, Sask.",Public Domain,Schools; School children
PC013148,https://archive.org/details/PC013148,"Eleventh Ave., looking across City Hall Square, Regina, Sask.",image/jpeg,"11th Avenue from Rose Street. City Hall is seen on the right with the G.S. Wood Building on the left, R.H. Williams in middle and the Leader Building.",,Canada; Saskatchewan; Regina,Rumsey & Co.: Publisher,1912,,,1912,"Rumsey & Co., 1528 Queen St. West, Toronto, Canada",Public Domain,Business districts; City & town halls; Stores & shops; Office buildings
PC012879,https://archive.org/details/PC012879,"Victoria Park, Regina",image/jpeg,Victoria Park looking north towards McCallum Hill Building.,,Canada; Saskatchewan; Regina,,1920-06-20,,,1920,,Public Domain,Parks; Buildings; McCallum Hill Building (Regina;  Sask.)
PC002630,https://archive.org/details/PC002630,"Victoria Park, Regina, Saskatchewan",image/jpeg,"Hand-coloured photograph view of the Victoria Park, Regina, showing trees and a monument, and people are walking in the park and sitting on benches.",,Canada; Saskatchewan; Regina,The Camera Products Co.: Publisher,1930,,,1930,"Published by The Camera Products Co., 1731 Dunbar Street, Vancouver, B.C.",For more information visit the University of Alberta Library digital collections rights page,Parks; Monuments & memorials; Flowers
PC013119,https://archive.org/details/PC013119,"The Post Office, Regina, Sask.",image/jpeg,Old Post Office on the corner of Scarth and 11th Avenue.,,Canada; Saskatchewan; Regina,,1947,,,1947,,Public Domain,Post offices; Clock towers
PC013080,https://archive.org/details/PC013080,"Saskatchewan Parliament, Bldgs, Regina, Sask.",image/jpeg,"The capitol building for the province of Saskatchewan is located in Regina, Saskatchewan.",,Canada; Saskatchewan; Regina,"Photogelatine Eng. Co., Ltd.: Publisher",2023-12-07T23:43:41Z,,,2023,"Photogelatine Engraving Co. Ltd., Ottawa",For more information visit the University of Alberta Library digital collections rights page,Capitols; Saskatchewan Legislative Building (Regina;  Sask.)
PC021911,https://archive.org/details/PC021911,"Metropolitan Methodist Church, Regina, Sask.",image/jpeg,,,Canada; Saskatchewan; Regina,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC022949,https://archive.org/details/PC022949,"Hotel Saskatchewan, Regina, Sask.",image/jpeg,,,Canada; Saskatchewan; Regina,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC012511,https://archive.org/details/PC012511,On the point Regina Beach,image/jpeg,"Swimmers and boaters at Regina Beach, Saskatchewan.",,Canada; Saskatchewan; Regina Beach,Rossie: Photographer,1916,,,1916,"Rossie, Regina",Public Domain,Lakes & ponds; Children; Boats; Waterfronts
PC011320,https://archive.org/details/PC011320,"Arlington Hotel, Rouleau, Sask.",image/jpeg,"Exterior view of Arlington Hotel in Rouleau, Saskatchewan.",,Canada; Saskatchewan; Rouleau,"Stewart, E.P.: Publisher",,,,,"Pub by E.P. Stewart, Rouleau, Sask.",For more information visit the University of Alberta Library digital collections rights page,Hotels
PC002842,https://archive.org/details/PC002842,"Footballers Cenotaph, Saskatoon, Sask.",image/jpeg,"Hugh Cairns monument in Kinsmen Park, surrounded by flowers.",,Canada; Saskatchewan; Saskatoon,The B.C. Printing & Litho Ltd.: Publisher,1930-06-20,,,1930,"Published by The B.C. Printing & Litho Ltd., Vancouver B.C.",Public Domain,Monuments & memorials; Parks
PC002817,https://archive.org/details/PC002817,"2nd Avenue & 21st Street, Saskatoon, Sask.",image/jpeg,"View of shops and stores in 21th Street in Saskatoon, there are cars on either side, and there are signs for Marvel, Bijou, Anchor Line.",,Canada; Saskatchewan; Saskatoon,"B.C. Printing & Litho Ltd.,: Publisher",,,,,"Published by the B.C. Printing & Litho Ltd., Vancouver, B.C.",For more information visit the University of Alberta Library digital collections rights page,Commercial streets; Stores & shops; Office buildings; Automobiles
PC028253,https://archive.org/details/PC028253,"School for the Deaf, Saskatoon, Saskatchewan",image/jpeg,,,Canada; Saskatchewan; Saskatoon,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC012803,https://archive.org/details/PC012803,"Main St., Strasbourg",image/jpeg,"Photo depicts a street in Strasbourg, Saskatchewan, Canada.",,Canada; Saskatchewan; Strasbourg,Nokomis Studio: Photographer,,,,,Nokomis Studio,For more information visit the University of Alberta Library digital collections rights page,Commercial streets; Stores & shops
PC013206,https://archive.org/details/PC013206,"Catholic and St. Stephens Churches, Swift Current, Sask.",image/jpeg,"Catholic and St. Stephens Churches, Swift Current, Sask.",,Canada; Saskatchewan; Swift Current,Bloom Bros.: Publisher,2024-06-20T14:34:31Z,,,2024,"Bloom Brothers, Winnipeg, Man.",Public Domain,Churches
PC020667,https://archive.org/details/PC020667,"Chemisty Building., University of Saskatchewan, Saskatoon, Sask.",image/jpeg,,,Canada; Saskatchewan; University of Saskatchewan Saskatoon,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
PC013247,https://archive.org/details/PC013247,"Verwood, Sask.",image/jpeg,Advertisement card for the Verwood Drug Store.,,Canada; Saskatchewan; Verwood,"Knapp Co., Inc.: Publisher",1915,,,1915,"The Knapp Co., Inc., N.Y.",Public Domain,Couples; Advertisements; Calendars
PC012969,https://archive.org/details/PC012969,"Watrous, Sask. Nov 1 - 09",image/jpeg,"Photo depicts a street in Watrous, Saskatchewan.",,Canada; Saskatchewan; Watrous,,1909,,,1909,,Public Domain,Cityscapes; Buildings; Windmills
PC012972,https://archive.org/details/PC012972,"[Watrous, Sask.]",image/jpeg,"Photo depicts a street in Watrous, Saskatchewan.",,Canada; Saskatchewan; Watrous,,1910-06-20,,,1910,,Public Domain,Residential streets; Wooden sidewalks; Dwellings; Carriages & coaches
PC012949,https://archive.org/details/PC012949,"Wewyn, Sask.",image/jpeg,"Early view of the town of Welwyn, Saskatchewan.",,Canada; Saskatchewan; Welwyn,,,,,,,For more information visit the University of Alberta Library digital collections rights page,Cityscapes; Wooden sidewalks; Buildings; Utility poles
PC013315,https://archive.org/details/PC013315,"Weyburn, Sask.",image/jpeg,"Photo depicts a street in Weyburn, Saskatchewan.",,Canada; Saskatchewan; Weyburn,Winnipeg Sales Co.: Publisher,1910-06-20,,,1910,Winnipeg Sales Co.,Public Domain,Commercial streets; Stores & shops
PC018193,https://archive.org/details/PC018193,"Presbyterian Church, Weyburn, Sask.",image/jpeg,,,Canada; Saskatchewan; Weyburn,,,,,,,For more information visit the University of Alberta Library digital collections rights page,
